"status","deathDate"
"civilian",2015-12-31
"civilian",2015-12-30
"civilian",2015-12-29
"civilian",2015-12-29
"civilian",2015-12-29
"civilian",2015-12-29
"civilian",2015-12-28
"civilian",2015-12-27
"civilian",2015-12-27
"civilian",2015-12-26
"civilian",2015-12-25
"civilian",2015-12-25
"civilian",2015-12-25
"civilian",2015-12-25
"civilian",2015-12-24
"civilian",2015-12-24
"civilian",2015-12-24
"civilian",2015-12-24
"civilian",2015-12-23
"civilian",2015-12-22
"civilian",2015-12-22
"civilian",2015-12-22
"civilian",2015-12-22
"civilian",2015-12-21
"civilian",2015-12-21
"civilian",2015-12-21
"civilian",2015-12-21
"civilian",2015-12-21
"civilian",2015-12-21
"civilian",2015-12-21
"civilian",2015-12-21
"civilian",2015-12-20
"civilian",2015-12-20
"civilian",2015-12-20
"civilian",2015-12-19
"civilian",2015-12-19
"civilian",2015-12-19
"civilian",2015-12-18
"civilian",2015-12-18
"civilian",2015-12-18
"civilian",2015-12-18
"civilian",2015-12-17
"civilian",2015-12-17
"civilian",2015-12-16
"civilian",2015-12-15
"civilian",2015-12-15
"civilian",2015-12-14
"civilian",2015-12-14
"civilian",2015-12-14
"civilian",2015-12-14
"civilian",2015-12-14
"civilian",2015-12-14
"civilian",2015-12-14
"civilian",2015-12-14
"civilian",2015-12-13
"civilian",2015-12-13
"civilian",2015-12-12
"civilian",2015-12-12
"civilian",2015-12-12
"civilian",2015-12-12
"civilian",2015-12-12
"civilian",2015-12-12
"civilian",2015-12-12
"civilian",2015-12-12
"civilian",2015-12-11
"civilian",2015-12-10
"civilian",2015-12-10
"civilian",2015-12-10
"civilian",2015-12-10
"civilian",2015-12-09
"civilian",2015-12-09
"civilian",2015-12-09
"civilian",2015-12-09
"civilian",2015-12-09
"civilian",2015-12-08
"civilian",2015-12-08
"civilian",2015-12-07
"civilian",2015-12-06
"civilian",2015-12-06
"civilian",2015-12-06
"civilian",2015-12-06
"civilian",2015-12-05
"civilian",2015-12-05
"civilian",2015-12-05
"civilian",2015-12-05
"civilian",2015-12-05
"civilian",2015-12-04
"civilian",2015-12-04
"civilian",2015-12-03
"civilian",2015-12-03
"civilian",2015-12-02
"civilian",2015-12-02
"civilian",2015-12-02
"civilian",2015-12-02
"civilian",2015-12-02
"civilian",2015-12-02
"civilian",2015-12-01
"civilian",2015-12-01
"civilian",2015-11-30
"civilian",2015-11-30
"civilian",2015-11-29
"civilian",2015-11-29
"civilian",2015-11-29
"civilian",2015-11-29
"civilian",2015-11-29
"civilian",2015-11-28
"civilian",2015-11-27
"civilian",2015-11-25
"civilian",2015-11-25
"civilian",2015-11-25
"civilian",2015-11-25
"civilian",2015-11-25
"civilian",2015-11-24
"civilian",2015-11-24
"civilian",2015-11-24
"civilian",2015-11-23
"civilian",2015-11-23
"civilian",2015-11-22
"civilian",2015-11-22
"civilian",2015-11-22
"civilian",2015-11-21
"civilian",2015-11-20
"civilian",2015-11-20
"civilian",2015-11-20
"civilian",2015-11-19
"civilian",2015-11-19
"civilian",2015-11-19
"civilian",2015-11-19
"civilian",2015-11-19
"civilian",2015-11-18
"civilian",2015-11-18
"civilian",2015-11-18
"civilian",2015-11-17
"civilian",2015-11-17
"civilian",2015-11-17
"civilian",2015-11-17
"civilian",2015-11-17
"civilian",2015-11-17
"civilian",2015-11-17
"civilian",2015-11-16
"civilian",2015-11-15
"civilian",2015-11-15
"civilian",2015-11-15
"civilian",2015-11-15
"civilian",2015-11-14
"civilian",2015-11-14
"civilian",2015-11-13
"civilian",2015-11-13
"civilian",2015-11-13
"civilian",2015-11-12
"civilian",2015-11-12
"civilian",2015-11-11
"civilian",2015-11-11
"civilian",2015-11-11
"civilian",2015-11-11
"civilian",2015-11-11
"civilian",2015-11-10
"civilian",2015-11-10
"civilian",2015-11-10
"civilian",2015-11-09
"civilian",2015-11-09
"civilian",2015-11-09
"civilian",2015-11-09
"civilian",2015-11-09
"civilian",2015-11-09
"civilian",2015-11-09
"civilian",2015-11-06
"civilian",2015-11-06
"civilian",2015-11-06
"civilian",2015-11-06
"civilian",2015-11-05
"civilian",2015-11-05
"civilian",2015-11-05
"civilian",2015-11-05
"civilian",2015-11-04
"civilian",2015-11-04
"civilian",2015-11-04
"civilian",2015-11-04
"civilian",2015-11-03
"civilian",2015-11-02
"civilian",2015-11-02
"civilian",2015-11-01
"civilian",2015-11-01
"civilian",2015-11-01
"civilian",2015-11-01
"civilian",2015-11-01
"civilian",2015-10-31
"civilian",2015-10-31
"civilian",2015-10-30
"civilian",2015-10-30
"civilian",2015-10-30
"civilian",2015-10-30
"civilian",2015-10-30
"civilian",2015-10-29
"civilian",2015-10-29
"civilian",2015-10-29
"civilian",2015-10-29
"civilian",2015-10-28
"civilian",2015-10-28
"civilian",2015-10-28
"civilian",2015-10-28
"civilian",2015-10-27
"civilian",2015-10-26
"civilian",2015-10-26
"civilian",2015-10-26
"civilian",2015-10-26
"civilian",2015-10-25
"civilian",2015-10-24
"civilian",2015-10-24
"civilian",2015-10-24
"civilian",2015-10-24
"civilian",2015-10-24
"civilian",2015-10-24
"civilian",2015-10-24
"civilian",2015-10-23
"civilian",2015-10-23
"civilian",2015-10-22
"civilian",2015-10-22
"civilian",2015-10-22
"civilian",2015-10-21
"civilian",2015-10-21
"civilian",2015-10-21
"civilian",2015-10-21
"civilian",2015-10-20
"civilian",2015-10-20
"civilian",2015-10-20
"civilian",2015-10-20
"civilian",2015-10-20
"civilian",2015-10-20
"civilian",2015-10-20
"civilian",2015-10-18
"civilian",2015-10-18
"civilian",2015-10-18
"civilian",2015-10-18
"civilian",2015-10-17
"civilian",2015-10-17
"civilian",2015-10-17
"civilian",2015-10-17
"civilian",2015-10-17
"civilian",2015-10-16
"civilian",2015-10-16
"civilian",2015-10-16
"civilian",2015-10-16
"civilian",2015-10-15
"civilian",2015-10-15
"civilian",2015-10-15
"civilian",2015-10-15
"civilian",2015-10-15
"civilian",2015-10-15
"civilian",2015-10-15
"civilian",2015-10-15
"civilian",2015-10-15
"civilian",2015-10-14
"civilian",2015-10-14
"civilian",2015-10-14
"civilian",2015-10-14
"civilian",2015-10-14
"civilian",2015-10-12
"civilian",2015-10-11
"civilian",2015-10-11
"civilian",2015-10-11
"civilian",2015-10-11
"civilian",2015-10-11
"civilian",2015-10-11
"civilian",2015-10-10
"civilian",2015-10-10
"civilian",2015-10-10
"civilian",2015-10-10
"civilian",2015-10-09
"civilian",2015-10-09
"civilian",2015-10-09
"civilian",2015-10-07
"civilian",2015-10-06
"civilian",2015-10-05
"civilian",2015-10-05
"civilian",2015-10-04
"civilian",2015-10-04
"civilian",2015-10-03
"civilian",2015-10-03
"civilian",2015-10-02
"civilian",2015-10-02
"civilian",2015-10-02
"civilian",2015-10-02
"civilian",2015-09-30
"civilian",2015-09-30
"civilian",2015-09-29
"civilian",2015-09-29
"civilian",2015-09-28
"civilian",2015-09-28
"civilian",2015-09-28
"civilian",2015-09-27
"civilian",2015-09-27
"civilian",2015-09-27
"civilian",2015-09-26
"civilian",2015-09-26
"civilian",2015-09-26
"civilian",2015-09-26
"civilian",2015-09-25
"civilian",2015-09-25
"civilian",2015-09-25
"civilian",2015-09-25
"civilian",2015-09-24
"civilian",2015-09-24
"civilian",2015-09-24
"civilian",2015-09-24
"civilian",2015-09-23
"civilian",2015-09-23
"civilian",2015-09-23
"civilian",2015-09-23
"civilian",2015-09-23
"civilian",2015-09-22
"civilian",2015-09-22
"civilian",2015-09-22
"civilian",2015-09-22
"civilian",2015-09-22
"civilian",2015-09-21
"civilian",2015-09-21
"civilian",2015-09-21
"civilian",2015-09-21
"civilian",2015-09-21
"civilian",2015-09-21
"civilian",2015-09-20
"civilian",2015-09-20
"civilian",2015-09-20
"civilian",2015-09-19
"civilian",2015-09-19
"civilian",2015-09-18
"civilian",2015-09-18
"civilian",2015-09-18
"civilian",2015-09-17
"civilian",2015-09-17
"civilian",2015-09-16
"civilian",2015-09-16
"civilian",2015-09-16
"civilian",2015-09-16
"civilian",2015-09-16
"civilian",2015-09-15
"civilian",2015-09-15
"civilian",2015-09-15
"civilian",2015-09-14
"civilian",2015-09-14
"civilian",2015-09-13
"civilian",2015-09-13
"civilian",2015-09-13
"civilian",2015-09-13
"civilian",2015-09-12
"civilian",2015-09-12
"civilian",2015-09-11
"civilian",2015-09-11
"civilian",2015-09-11
"civilian",2015-09-10
"civilian",2015-09-10
"civilian",2015-09-10
"civilian",2015-09-10
"civilian",2015-09-10
"civilian",2015-09-09
"civilian",2015-09-09
"civilian",2015-09-09
"civilian",2015-09-09
"civilian",2015-09-08
"civilian",2015-09-08
"civilian",2015-09-07
"civilian",2015-09-07
"civilian",2015-09-07
"civilian",2015-09-07
"civilian",2015-09-06
"civilian",2015-09-06
"civilian",2015-09-06
"civilian",2015-09-06
"civilian",2015-09-06
"civilian",2015-09-05
"civilian",2015-09-05
"civilian",2015-09-05
"civilian",2015-09-05
"civilian",2015-09-05
"civilian",2015-09-04
"civilian",2015-09-04
"civilian",2015-09-04
"civilian",2015-09-04
"civilian",2015-09-04
"civilian",2015-09-03
"civilian",2015-09-02
"civilian",2015-09-01
"civilian",2015-09-01
